error_no,feedback_id,lang,dialect_region,length_bucket,y_true,y_pred,confidence,text,error_category,manual_note
1,FB-008128,ar,MSA,medium,parks,roads,0.79,الممر في حديقة جدة غير مناسب للكراسي المتحركة,Label ambiguity,park walkway overlaps semantically with roads
2,FB-010648,ar,MSA,medium,parks,roads,0.63,الممر في حديقة طريق الملك فهد غير مناسب للكراسي المتحركة 😡,Label ambiguity,park walkway overlaps semantically with roads
3,FB-006088,ar,MSA,short,parks,roads,0.71,الري متوقف في حديقة الرياض,Systematic class confusion,clear park irrigation example predicted as roads
4,FB-000368,ar,MSA,medium,parks,roads,0.87,الممر في حديقة جدة غير مناسب للكراسي المتحركة,Label ambiguity,park walkway overlaps semantically with roads
5,FB-009328,ar,MSA,short,parks,roads,0.79,ألعاب الأطفال في حديقة جدة تحتاج صيانة,Systematic class confusion,clear playground-maintenance example predicted as roads
6,FB-009048,ar,MSA,medium,parks,roads,0.63,الممر في حديقة الدمام غير مناسب للكراسي المتحركة,Label ambiguity,park walkway overlaps semantically with roads
7,FB-007848,ar,MSA,short,parks,roads,0.63,ألعأب الأطفال في حديقة الدمام تحتاج صيانة,Arabic orthographic variation,misspelling: ألعأب
8,FB-004368,ar,MSA,medium,parks,roads,0.87,ألعاب الأطفال في حديقة حي العليا تحتاج صيانة,Systematic class confusion,clear playground-maintenance example predicted as roads
9,FB-000208,ar,MSA,medium,parks,roads,0.55,الممر في حديقة جدة غير مناسب للكراسي المتحركة,Label ambiguity,park walkway overlaps semantically with roads
10,FB-007008,ar,MSA,medium,parks,roads,0.55,ألعاب الأطفال في حديقة شارع التحلية تحتاج صيانة 😡,Systematic class confusion,clear playground-maintenance example predicted as roads
11,FB-009488,ar,MSA,medium,parks,roads,0.71,ألعاب الأطفال في حديقة شارع التحلية تحتاج صيانة,Systematic class confusion,clear playground-maintenance example predicted as roads
12,FB-002288,ar,MSA,medium,parks,roads,0.71,ألعاب الأطفال في حديقة شارع التحلية تحتاج صيانة,Systematic class confusion,clear playground-maintenance example predicted as roads
13,FB-008728,ar,MSA,short,parks,roads,0.79,الري متوقف في حديقة حي النرجس,Systematic class confusion,clear park irrigation example predicted as roads
14,FB-001808,ar,MSA,medium,parks,roads,0.55,ألعاب الأطفال في حديقة شارع التحلية تحتاج صيانة 😡,Systematic class confusion,clear playground-maintenance example predicted as roads
15,FB-007288,ar,MSA,medium,parks,roads,0.71,ألعاب الأطفال في حديقة شارع التحلية تحتاج صيانة,Systematic class confusion,clear playground-maintenance example predicted as roads
16,FB-008848,ar,MSA,medium,parks,roads,0.63,الممر في حديقة حي النرجس غير مناسب للكراسي المتحركة,Label ambiguity,park walkway overlaps semantically with roads
17,FB-011568,ar,MSA,short,parks,roads,0.87,الري متوقف في حديقة شارع التحلية,Systematic class confusion,clear park irrigation example predicted as roads
18,FB-008448,ar,MSA,short,parks,roads,0.63,الري متوقف في حديقة حي النرجس,Systematic class confusion,clear park irrigation example predicted as roads
19,FB-005928,ar,MSA,medium,parks,roads,0.79,الممر في حديقة جدة غير مناسب للكراسي المتحركة,Label ambiguity,park walkway overlaps semantically with roads
20,FB-006608,ar,MSA,short,parks,roads,0.55,الري متوقف في حديقة جدة,Systematic class confusion,clear park irrigation example predicted as roads
21,FB-003128,ar,MSA,short,parks,roads,0.79,ألعاب الأطفال في حديقة الرياض تحتاج صيانة,Systematic class confusion,clear playground-maintenance example predicted as roads
22,FB-004528,ar,MSA,medium,parks,roads,0.79,الممر في حديقة الدمام غير مناسب للكراسي المتحركة,Label ambiguity,park walkway overlaps semantically with roads
23,FB-009968,ar,MSA,medium,parks,roads,0.87,ألعاب الأطفال في حديقة حي الياسمين تحتاج صيانة,Systematic class confusion,clear playground-maintenance example predicted as roads
24,FB-010008,ar,MSA,short,parks,roads,0.55,ألعاب الأطفال في حديقة جدة تحتاج صيانة,Systematic class confusion,clear playground-maintenance example predicted as roads
25,FB-004168,ar,MSA,medium,parks,roads,0.87,ألعاب الأطفال في حديقة حي العليا تحتاج صيانة,Systematic class confusion,clear playground-maintenance example predicted as roads
26,FB-001688,ar,MSA,short,parks,roads,0.71,الري متوقف في حديقة حي النرجس,Systematic class confusion,clear park irrigation example predicted as roads
27,FB-011248,ar,MSA,short,parks,roads,0.63,الري متوقف في حديقة الرياض,Systematic class confusion,clear park irrigation example predicted as roads
28,FB-011808,ar,MSA,medium,parks,roads,0.55,الممر في حديقة طريق الملك فهد غير مناسب للكراسي المتحركة,Label ambiguity,park walkway overlaps semantically with roads
29,FB-006288,ar,MSA,medium,parks,roads,0.71,الممر في حديقة طريق الملك فهد غير مناسب للكراسي المتحركة,Label ambiguity,park walkway overlaps semantically with roads
30,FB-009528,ar,MSA,short,parks,roads,0.79,الري متوقف في حديقة جدة,Systematic class confusion,clear park irrigation example predicted as roads
31,FB-000688,ar,MSA,short,parks,roads,0.71,الري متوقف في حديقة الدمام,Systematic class confusion,clear park irrigation example predicted as roads
32,FB-006568,ar,MSA,short,parks,roads,0.87,الري متوقف في حديقة الدمام,Systematic class confusion,clear park irrigation example predicted as roads
33,FB-001328,ar,MSA,medium,parks,roads,0.79,الممر في حديقة طريق الملك فهد غير مناسب للكراسي المتحركة,Label ambiguity,park walkway overlaps semantically with roads
34,FB-000968,ar,MSA,medium,parks,roads,0.87,الممر في حديقة حي العليا غير مناسب للكراسي المتحركة,Label ambiguity,park walkway overlaps semantically with roads
35,FB-008608,ar,MSA,medium,parks,roads,0.55,ألعأب الأطفال في حديقة شارع التحلية تحتاج صيانة,Arabic orthographic variation,misspelling: ألعأب
36,FB-004768,ar,MSA,medium,parks,roads,0.87,الممر في حديقة طريق الملك فهد غير مناسب للكراسي المتحركة,Label ambiguity,park walkway overlaps semantically with roads
37,FB-000288,ar,MSA,medium,parks,roads,0.71,ألعاب الأطفال في حديقة الرياض تحتاج صيانة <NATIONAL_ID>,Systematic class confusion,clear playground-maintenance example predicted as roads
38,FB-003608,ar,MSA,medium,parks,roads,0.55,ألعاب الأطفال في حديقة حي الياسمين تحتاج صيانة,Systematic class confusion,clear playground-maintenance example predicted as roads
39,FB-001848,ar,MSA,short,parks,roads,0.63,الري متوقف في حديقة شارع التحلية,Systematic class confusion,clear park irrigation example predicted as roads
40,FB-002928,ar,MSA,medium,parks,roads,0.79,الممر في حديقة شارع التحلية غير مناسب للكراسي المتحركة,Label ambiguity,park walkway overlaps semantically with roads
41,FB-003728,ar,MSA,medium,parks,roads,0.79,الممر في حديقة حي العليا غير مناسب للكراسي المتحركة,Label ambiguity,park walkway overlaps semantically with roads
42,FB-003048,ar,MSA,medium,parks,roads,0.63,الممر في حديقة جدة غير مناسب للكراسي المتحركة,Label ambiguity,park walkway overlaps semantically with roads
43,FB-011448,ar,MSA,medium,parks,roads,0.63,الممر في حديقة طريق الملك فهد غير مناسب للكراسي المتحركة,Label ambiguity,park walkway overlaps semantically with roads
